代码,名称,选中日期,选中当日涨跌幅,选中1日涨跌幅,选中2日涨跌幅,选中3日涨跌幅,选中4日涨跌幅,选中5日涨跌幅,选中6日涨跌幅,选中7日涨跌幅,选中8日涨跌幅,选中9日涨跌幅,选中10日涨跌幅
301082,久盛电气,2021-10-27T00:00:00+08:00,69.32,3.17,-8.1,-1.61,3.52,-1.62,3.25,2.49,10.82,-6.4,3.55
301082,久盛电气,2021-11-08T00:00:00+08:00,10.82,-6.4,3.55,0.46,9.04,3.19,-9.28,11.13,-1.18,-0.53,1.89
301082,久盛电气,2021-11-17T00:00:00+08:00,11.13,-1.18,-0.53,1.89,0.99,-1.78,2.65,-8.18,-3.81,-0.17,0.48
301079,邵阳液压,2021-10-19T00:00:00+08:00,170.05,-8.42,1.26,4.89,-4.47,11.17,2.53,-9.36,-4.21,3.01,0.95
301079,邵阳液压,2021-10-26T00:00:00+08:00,11.17,2.53,-9.36,-4.21,3.01,0.95,-2.7,0.03,-0.23,5.79,0.66
301079,邵阳液压,2021-11-19T00:00:00+08:00,20.01,-3.37,0.51,2.63,5.44,-5.45,-0.32,1.78,-4.94,-4.55,-1.14
301081,严牌股份,2021-10-20T00:00:00+08:00,61.39,-11.1,11.19,-7.65,0.63,-3.8,-7.9,-1.76,1.62,2.36,1.27
301081,严牌股份,2021-10-22T00:00:00+08:00,11.19,-7.65,0.63,-3.8,-7.9,-1.76,1.62,2.36,1.27,-1.76,-0.64
301081,严牌股份,2021-11-12T00:00:00+08:00,20.0,20.0,-16.35,3.57,3.61,-6.42,11.74,0.22,-2.14,2.75,-1.62
301081,严牌股份,2021-11-15T00:00:00+08:00,20.0,-16.35,3.57,3.61,-6.42,11.74,0.22,-2.14,2.75,-1.62,-3.51
301081,严牌股份,2021-11-22T00:00:00+08:00,11.74,0.22,-2.14,2.75,-1.62,-3.51,-2.94,0.32,-3.42,-1.48,-5.09
301083,百胜智能,2021-10-21T00:00:00+08:00,85.9,38.63,-14.53,0.0,-9.7,-6.2,-1.71,1.26,-4.09,2.97,1.02
301083,百胜智能,2021-10-22T00:00:00+08:00,38.63,-14.53,0.0,-9.7,-6.2,-1.71,1.26,-4.09,2.97,1.02,1.9
301083,百胜智能,2021-11-15T00:00:00+08:00,19.99,-16.02,0.0,3.2,-4.39,6.75,-0.29,-1.26,-2.94,-2.07,0.36
301169,零点有数,2021-11-03T00:00:00+08:00,141.46,-4.1,9.11,-5.31,-4.61,-3.57,2.79,5.49,-0.04,-8.76,1.66
301188,力诺特玻,2021-11-11T00:00:00+08:00,108.62,3.06,4.4,-11.89,1.91,0.95,1.85,1.3,2.82,-4.17,6.1
430510,丰光精密,2021-07-14T00:00:00+08:00,15.09,1.9,4.13,-5.28,0.7,3.17,-2.21,-0.1,-1.86,0.0,0.0
430510,丰光精密,2021-09-03T00:00:00+08:00,16.72,12.84,10.36,29.95,-1.42,-3.43,-14.43,-8.1,2.4,-7.84,10.17
430510,丰光精密,2021-09-06T00:00:00+08:00,12.84,10.36,29.95,-1.42,-3.43,-14.43,-8.1,2.4,-7.84,10.17,9.87
